App ID,Project Type,Org Name,Project Title,Project Summary,Initiative,Award Amount (Preliminary),Organization Type,Service Area,Notification Date
BP1-IA-305,Implementation,Southcentral Foundation,Rural Pharmacy Upgrade,"Southcentral Foundation (SCF) proposes to improve pharmacy facilities and replace outdated secure, pharmacy-monitored, medicine-dispensing units (called “PickPoints”) in 14 rural clinics from Chitina to St. Paul, bringing SCF’s telepharmacies into functional alignment with security, software, and environmental needs, and making any minor modification necessary to ensure security, safety, and connectivity.",Health Care Access,1547223,"Clinic;Federally qualified health center;Non-Profit, Social Service, or Community Based Organization;Pharmacy;Tribal Health Organization",Aleutians West Census Area;Anchorage (Municipality);Copper River Census Area that;Kenai Peninsula Borough;Lake and Peninsula Borough;Matanuska-Susitna Borough;Yukon-Koyukuk Census Area,2026-08-14 00:00:00
BP1-IA-318,Implementation,Special Olympics Alaska Inc,Inclusive Healthcare for Individuals with Intellectual Disabilities - Phase 1,"Special Olympics Alaska proposes to expand health screenings, train community health workers, and provide in-state neurological screening events to address limited preventive and specialty care for people with intellectual and developmental disabilities in rural and remote Alaska.",Healthy Communities,331115.61,"Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-14 00:00:00
BP1-IA-332,Implementation,Tanana Chiefs Conference,Village and Home Based Culturally Grounded End of Life Care,"Tanana Chiefs Conference (TCC) proposes to strengthen access, quality and sustainability of palliative and end-of-life care to address the lack of local support identified in a 2024 TCC Annual Convention Resolution. This will enable seriously ill Elders in the Yukon Koyukuk, Yukon Tanana, Yukon Flats, and Upper Tanana subregions to remain in their home villages with trained caregivers, coordinated care teams, and palliative care services aligned with their goals.",Health Care Access,608672,Federally qualified health center;Tribal Health Organization,Denali Borough;Fairbanks North Star Borough;Nome Census Area;Southeast Fairbanks Census Area;Yukon-Koyukuk Census Area,2026-08-14 00:00:00
BP1-IA-351,Implementation,Whale Tail Pharmacy,Bridging Gaps and Expanding Access Through Community Pharmacy-Based Care for Remote Patients,"Whale Tail Pharmacy proposes to establish eight community pharmacy-based health programs — including remote chronic disease monitoring, point-of-care testing, medication packaging, and transition of care support — to address the numerous healthcare needs and gaps in care on Prince of Wales Island, a roadless island in Southeast Alaska serving approximately 5,000 residents across 12 communities with no hospital, no home health nor long-term care, and limited physician access.",Health Care Access,341274,Pharmacy,Prince of Wales-Hyder Census Area,2026-08-14 00:00:00
BP1-IA-352,Implementation,White's Incorporated,After Hours Access to Pharmaceuticals,White's Inc proposes to purchase and install a Pharmaself24 medication cabinet at 106 Lincoln Street in Sitka to improve access to medication therapy for those unable to reach the pharmacy during normal operating hours. This will help to serve the population of Sitka and the surrounding local islands.,Health Care Access,18980,Pharmacy,Sitka (City and Borough),2026-08-14 00:00:00
BP1-INT-07,Implementation,"Alaska Psychiatric Institute, Department of Family & Community Services",Alaska Psychiatric Institute Electronic Medical Record (EMR) Improvements,"Alaska Psychiatric Insitute (API) proposes to upgrade its EMR which will strengthen secure exchange of health information with partner providers and improve continuity of care for individuals receiving services at API, including those returning to rural and underserved communities throughout Alaska. ",Spark Technology and Innovation,300000,State Agency,Statewide,2026-08-14 00:00:00
BP1-INT-09,Implementation,"Division of Juvenile Justice, Department of Family & Community Services",Division of Juvenile Justice (DJJ) Electronic Health Record ,"The Division of Juvenile Justice (DJJ) prooses to upgrade to a cloud based EHR that will improve quality, continuity, and coordination of healthcare services for justice-involved youth by providing secure, real-time access to critical medical and behavioral health information as well as sharing information.  ",Spark Technology and Innovation,180000,State Agency,Statewide,2026-08-14 00:00:00
BP1-INT-10,Implementation,"Office of Children's Services, Department of Family & Community Services",Alaska Comprehensive Child Welfare Information System (CCWIS) Project,"The Office of Children's Services proposes to modernize the Comprehensive Child Welfare Information System (CCWIS) . CCWIS modernization is especially consequential for Alaska’s rural and remote communities, where families are served across vast distances, limited connectivity, and a dispersed network of providers, regional hubs, and tribal partners.  This investment is designed to provide lasting value beyond the initial RHTP performance period by advancing a modular CCWIS that integrates with existing State of Alaska systems and is built to federal design and interoperability standards. ",Spark Technology and Innovation,2985000,State Agency,Statewide,2026-08-14 00:00:00
BP1-INT-11,Implementation,Department of Corrections,Strengthening Alaska’s Correctional Health System Through Virtual Care,"The Department of Corrections (DOC) proposes to implement telemedicine and teledental equipment across correctional facilities. This expansion connects incarcerated Alaskans with healthcare providers in their home communities and across the state, improving continuity of care both during incarceration and after release. Many individuals enter custody with untreated chronic medical and mental health conditions; by introducing them to telehealth services and establishing relationships with community-based providers, DOC supports smoother transitions to care upon reentry. ",Health Care Access,3882015.88,State Agency,Statewide,2026-08-14 00:00:00
BP1-INT-13,Implementation,"Office of Children's Services, Department of Family & Community Services",Alaska Child Welfare Referral Process Improvement Project,"The Office of Children's Services (OCS) proposes  investing in a bridge solution that works with Alaska's existing systems and the health information exchange to close gaps now, while remaining compatible with the future Comprehensive Child Welfare Information System (CCWIS). ",Health Care Access,2000000,State Agency,Statewide,2026-08-14 00:00:00
BP1-INT-16,Implementation,Department of Corrections,Engaging in the Health Information System to Improve Care Coordination for Rural Alaskans ,"The Department of Corrections (DOC) proposes to integrate its electronic medical records with Alaska’s Health Information Exchange and Prescription Drug Monitoring Program to strengthen care transitions as individuals move between DOC and rural community providers. This will address gaps in care coordination, incomplete medical histories, and limited visibility into controlled substance use for incarcerated Alaskans across remote communities. These gaps disproportionately impact rural Alaskans, who rely heavily on continuity of care across Tribal, regional, and local health systems. ",Healthy Communities,242000,State Agency,Statewide,2026-08-14 00:00:00
BP1-INT-21,Implementation,University of Alaska Anchorage,Alaska Graduate Medical Education (AKGME) Council:  Building Alaska's Rural Physician Workforce Infrastructure,"The University of Alaska Anchorage, College of Health, Area Health Education Centers (AHEC) proposes establishing the Alaska Graduate Medical Education Council to coordinate physician residency training, support healthcare organizations in developing training programs, strengthen faculty and preceptor capacity, and assess physician workforce needs, addressing Alaska's shortage of residency training opportunities and physicians across rural, remote, frontier, and underserved communities statewide.",Strengthen Workforce,487022,University,Statewide,2026-08-14 00:00:00
BP1-INT-22,Implementation,Department of Education and Early Development,Alaska Presidential Physical Fitness Testing (APPFT),The Alaska Department of Education & Early Development (DEED) proposes providing funding to Alaska School Districts to implement the Presidential Physical Fitness test. ,Healthy Beginnings,1150000,State Agency,Statewide,2026-08-14 00:00:00
BP1-INT-23,Implementation,University of Alaska Fairbanks - Community and Technical College,Alaska Immersive Training Project,"The University of Alaska Fairbanks Community and Technical College proposes to expand healthcare workforce training by deploying mobile and fixed immersive simulation systems serving rural Alaska. The project addresses limited access to clinical training caused by geographic isolation, low patient volumes, and shortages of specialty training opportunities. Immersive learning environments will provide realistic patient care scenarios and hands-on skills practice for emergency medical personnel, nurses, community health aides, and other healthcare workers in rural communities throughout Alaska.",Strengthen Workforce,987204.7,University,Statewide,2026-08-14 00:00:00
BP1-PL-001,Planning,Alaska Eating Disorders Alliance,Eating Disorders Workforce Development and Interdisciplinary Training Infrastructure Initiative,"Alaska Eating Disorders Alliance (AKEDA) proposes a 12-month planning and early implementation phase to develop a statewide interdisciplinary workforce training infrastructure for eating disorder identification and treatment, in partnership with UAA College of Health. Activities include a mixed-methods workforce needs assessment, identification of continuing education opportunities, establishment of an interdisciplinary advisory structure, and exploration of a graduate-level training pathway. The initiative addresses a critical statewide gap: Alaska has no dedicated eating disorder care and no coordinated training pathways for an estimated 65,000 Alaskans living with eating disorders.",Strengthen Workforce,317111,"Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-14 00:00:00
BP1-PL-002,Planning,Alaska Hospital & Healthcare Association,Development of an Alaska Nursing Workforce Center,"AHHA proposes to incubate the Alaska Nursing Workforce Center, which would serve as Alaska's first dedicated hub for nursing workforce data, research, and strategic planning—addressing a gap as one of only four states without such a center. Year 1 activities focus on finalizing a three-year strategic plan, strengthening governance and operational infrastructure, and beginning statewide nursing workforce data collection. The long-term goal is for the Center to transition to an independent 501(c)(3) organization that informs statewide recruitment, retention, and nursing education policy.",Strengthen Workforce,249958.4,Association,Anchorage (Municipality);Bethel Census Area;Bristol Bay Borough;Chugach Census Area;Dillingham Census Area;Fairbanks North Star Borough;Hoonah-Angoon Census Area;Juneau (City and Borough);Kenai Peninsula Borough;Ketchikan Gateway Borough;Kodiak Island Borough;Matanuska-Susitna Borough;Nome Census Area;North Slope Borough;Northwest Arctic Borough;Petersburg Borough;Sitka (City and Borough);Wrangell (City and Borough);Yukon-Koyukuk Census Area,2026-08-14 00:00:00
BP1-PL-013,Planning,City of Aleknagik,Aleknagik Rural Health Access Strategic Plan,"The City of Aleknagik proposes a 12-month strategic planning effort to address healthcare access barriers for this remote community of approximately 200 residents on the shores of Lake Aleknagik in Southwest Alaska. The plan addresses three areas: a sustainable rural workforce strategy including recruitment pathways and clinician housing options, an operational review and capital improvement plan for the municipally owned clinic, and transportation and connectivity improvements to strengthen access to higher levels of care. Deliverables include a costed, 5-year phased implementation roadmap adopted by City resolution.",Health Care Access,110500,Local Government,Dillingham Census Area,2026-08-14 00:00:00
BP1-PL-014,Planning,Denali Insight LLC,Nenana Community Health & Wellness Strategic Planning Initiative,"Denali Insight Consulting proposes a community health and wellness needs assessment and strategic planning initiative for Nenana, a rural Interior Alaska community of approximately 350 residents that serves as a regional service hub but lacks a formal health committee or shared strategic framework. The project will conduct community surveys, stakeholder interviews, and facilitated engagement to identify service gaps and priorities, followed by formation of a cross-sector Community Health & Wellness Steering Committee with defined roles and measurable outcomes. Deliverables include a final assessment report and a strategic direction document to guide coordinated health investments in Nenana and surrounding communities.",Healthy Communities,43000,Vendor Partnering with an Alaska Organization,Yukon-Koyukuk Census Area,2026-08-14 00:00:00
BP1-PL-023,Planning,Petersburg Medical Center,Petersburg Medical Center Maternal Health & Early Childhood Planning Project,"Petersburg Medical Center, an independent non-profit Critical Access Hospital serving remote Southeast Alaska communities accessible only by boat or plane, proposes to launch lactation consultant services—filling a complete gap in the service area—and engage Community Wellness leadership in planning for future expansion of maternal and early childhood community-based supports. The project will integrate lactation services into the primary care clinic and Cerner EMR, train additional staff to lactation consultant certification, and assess the viability of further service expansion such as home visiting. This work addresses documented postpartum care gaps for a population that must leave the community to give birth.",Healthy Beginnings,159947,"Hospital (all types);Non-Profit, Social Service, or Community Based Organization",Petersburg Borough,2026-08-14 00:00:00
BP1-PL-025,Planning,Railbelt Mental Health & Addictions,Building Capacity for Certified Community Behavioral Health Clinic (CCBHC) Status,"Railbelt Mental Health & Addictions proposes a planning and readiness phase toward achieving Certified Community Behavioral Health Clinic (CCBHC) designation in a frontier region spanning 180 road miles of the Parks Highway, serving communities of 100–800 residents approximately 50–150 miles from Fairbanks and Wasilla. Planning activities include conducting a needs assessment, determining CCBHC certification requirements, engaging stakeholders, and building the administrative and operational infrastructure necessary for a full CCBHC application. CCBHC designation would enable same-day assessments, 24/7 crisis services, and comprehensive behavioral health care regardless of ability to pay.",Health Care Access,82691.88,"Behavioral health/substance use disorder treatment;Clinic; Non-Profit, Social Service, or Community Based Organization",Denali Borough;Yukon-Koyukuk Census Area,2026-08-14 00:00:00
BP1-PL-026,Planning,Tanana Chiefs Conference,Pharmaceutical and Medical Supplies Drone Transportation System For Interior Alaska Villages,"Tanana Chiefs Conference proposes a concept formation and planning year to develop the regulatory, technical, and community engagement framework for a drone-based pharmaceutical delivery system connecting TCC's Fairbanks hub to 42 Interior Alaska villages across 94,000 square miles, where medication delivery delays of 5–14 days are common during winter. The project will partner with UAF's Alaska Center for Unmanned Aircraft Systems Integration (ACUASI) to address FAA BVLOS waiver requirements, chain-of-custody and DEA compliance, temperature maintenance, and tribal community readiness. Year 1 deliverables include a regulatory roadmap, safety and compliance framework, initial short-distance flight testing, and a 5-year phased implementation timeline.",Spark Technology and Innovation,250000,"Non-Profit, Social Service, or Community Based Organization;Tribe and/or Tribal Health Organization",Denali Borough;Fairbanks North Star Borough;North Slope Borough;Southeast Fairbanks Census Area;Yukon-Koyukuk Census Area,2026-08-14 00:00:00
BP1-IA-006,Implementation,Alaska Behavioral Health,Alaska Seeds of Change Model Expansion for Behavioral Health Engagement,"Alaska Behavioral Health proposes expanding the Alaska Seeds of Change model to increase behavioral health engagement and reduce treatment dropout among Alaskans with mental health challenges and serious mental illness by creating therapeutic group, activity, and skill-building experiences in a structured hydroponic growing space in Anchorage, serving clients of all ages, including those transitioning to and from rural communities.",Health Care Access,593100,"Behavioral health/substance use disorder treatment;Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality),2026-08-07 00:00:00
BP1-IA-022,Implementation,Alaska Hospital & Healthcare Association,Find Your Fit,"The Alaska Hospital & Healthcare Association (AHHA) requests funding to expand and enhance “Find Your Fit”, a comprehensive career platform and targeted recruitment campaign. Developed in partnership with Alaska’s 24 hospitals, 20 skilled nursing facilities, and tribal health system, this coordinated statewide initiative builds a robust ""grow our own"" pipeline to address critical shortages by connecting high schoolers, adult learners, and direct care professionals to certification pathways and rural training opportunities, career pathways, and employment opportunities.",Strengthen Workforce,236031,Association,Statewide,2026-08-07 00:00:00
BP1-IA-025,Implementation,Alaska Impact Alliance,907 Navigation App Expansion Project,"The Alaska Impact Alliance will expand the 907 Navigation platform to connect residents with health care, social services, public benefits, local resources, and timely community information, addressing gaps in service navigation, referral coordination, and access to reliable information for rural, remote, and frontier communities across Alaska.",Healthy Communities,178579,"Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-07 00:00:00
BP1-IA-040,Implementation,Alaska Primary Care Association,Rural FQHC Transformation for Alaska Medicare Beneficiaries,"The Alaska Primary Care Association, on behalf of Resolute Health Alliance of Alaska LLC, proposes to implement a Medicare Shared Savings Program value-based care model across four Federally Qualified Health Centers serving rural and underserved Alaskans. This project builds on initial work started in January 2026, and accelerates the transition from volume-based to value-based care by building the clinical workflows, workforce capacity, and population health data systems needed to improve care quality and long-term financial sustainability for rural Alaska's Medicare beneficiaries.",Pay for Value,650190,Association,Anchorage (Municipality);Kodiak Island Borough;Matanuska-Susitna Borough,2026-08-07 00:00:00
BP1-IA-076,Implementation,Camai CHC,Bristol Bay Regional Specialty Care Hub Transformation Project,"Camai Community Health Center proposes designing a regional specialty care hub to expand local access to visiting specialists, tele-optometry, behavioral health, and victim support services that rural residents of Bristol Bay Borough currently travel great distances to reach or cannot access at all.",Health Care Access,250000,Federally qualified health center,Bristol Bay Borough,2026-08-07 00:00:00
BP1-IA-078,Implementation,Cancer Connection,Southeast Alaska Cancer Care Support Network,"Cancer Connection will create a Southeast Alaska Cancer Support Network, uniting nonprofit organizations serving rural communities across the region. Network participants will increase knowledge of each organization’s programs, develop strategies to improve patient and provider awareness, and establish a framework to strengthen referrals and access to services. By linking independent programs through shared information, joint initiatives, and healthcare partnerships, the Network will expand access to cancer prevention, treatment, and survivorship support for patients and families.",Healthy Communities,109500,"Non-Profit, Social Service, or Community Based Organization",Haines Borough;Hoonah-Angoon Census Area;Juneau (City and Borough);Ketchikan Gateway Borough;Petersburg Borough;Prince of Wales-Hyder Census Area;Sitka (City and Borough);Skagway (Municipality);Wrangell (City and Borough),2026-08-07 00:00:00
BP1-IA-088,Implementation,Chugachmuit,Expanding Rural Access to Diagnostic Imaging Through Digital X-Ray Technology,"Chugachmiut proposes expanding access to diagnostic imaging by implementing portable digital X-ray services at five rural clinics across the Chugach Region. The project addresses limited local access to diagnostic imaging in geographically isolated communities, where patients currently must travel long distances for basic imaging studies, resulting in delays in diagnosis and treatment.",Health Care Access,627180,Tribal Health Organization,Chugach Census Area;Kenai Peninsula Borough,2026-08-07 00:00:00
BP1-IA-105,Implementation,Community Connections,EHR Optimization and Scheduling/Service Coordination System Improvements,"Community Connections proposes to optimize its electronic health record and implement a scheduling system to improve access to behavioral health services for youth and families in Ketchikan and the seven remote communities on Prince of Wales Island, addressing administrative burden, fragmented coordination, and technology gaps that limit timely care in rural, geographically isolated communities.",Spark Technology and Innovation,74263,"Behavioral health/substance use disorder treatment;Non-Profit, Social Service, or Community Based Organization",Ketchikan Gateway Borough;Prince of Wales-Hyder Census Area,2026-08-07 00:00:00
BP1-IA-121,Implementation,Denali Borough,Denali Borough Rural Health Care Transformation Project Coordinator,"Denali Borough proposes establishing a Rural Health Project Coordinator position to strengthen regional health care partnerships, coordinate public health initiatives, advance rural health infrastructure projects, and support health workforce development, addressing persistent gaps in health care access, service coordination, and system capacity across the Denali Borough.",Health Care Access,107985,Local government,Denali Borough,2026-08-07 00:00:00
BP1-IA-146,Implementation,Girdwood Health Clinic Inc,Fresh Start Clinical Integration: Connecting Prevention with Rural Chronic Disease Monitoring,"Turnagain Community Health proposes to strengthen coordination between Fresh Start public health prevention resources and primary care-based chronic disease management through nursing support, self-measured blood pressure monitoring, treatment adherence support, and Community Health Worker involvement, addressing gaps in prevention, early intervention, follow-up, and patient self-management for adults with hypertension, diabetes, and cardiovascular risk factors across the Turnagain Arm communities.",Healthy Communities,100000,"Behavioral health/substance use disorder treatment;Clinic;Family medicine or primary care;Federally qualified health center;Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality);Chugach Census Area;Kenai Peninsula Borough,2026-08-07 00:00:00
BP1-IA-147,Implementation,Girdwood Health Clinic Inc,Integrated Community Health Worker Navigation: Bridging Health Care & Community in Rural Alaska,"Turnagain Community Health proposes to expand integrated community health worker navigation for rural residents of Girdwood, Hope, Whittier, Bird Creek, Indian, and surrounding Turnagain Arm communities, addressing transportation barriers, health-related social needs, public benefit navigation, chronic disease support, behavioral health engagement, and gaps in care coordination.",Health Care Access,100000,"Behavioral health/substance use disorder treatment;Clinic;Family medicine or primary care;Federally qualified health center;Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality);Chugach Census Area;Kenai Peninsula Borough,2026-08-07 00:00:00
BP1-IA-237,Implementation,Norton Sound Health Corporation,2C Centralized Patient Navigation Project,"Norton Sound Health Corporation proposes to establish a centralized scheduling hub utilizing four cross-trained schedulers to integrate appointment systems across all fifteen remote village clinics, the Nome Family Medicine clinic, and the Norton Sound Regional Hospital. Equipped with population health dashboards, this model enables cross-facility booking and proactive clinical care gap closures during a single phone call, mitigating regional staffing shortages and reducing patient travel expenses.",Healthy Communities,292006,"Behavioral health/substance use disorder treatment;Clinic;Dental;Family medicine or primary care;Federally qualified health center;Hospital (all types);Maternal health;Non-Profit, Social Service, or Community Based Organization;Tribal Health Organization",Nome Census Area,2026-08-07 00:00:00
BP1-IA-325,Implementation,Sunshine Community Health Center,RN Care Management Billing Innovation & Outcome Analytics Infrastructure,"Sunshine Community Health Center proposes to build documentation and data analytics infrastructure to capture registered nurse care management services currently delivered but not tracked or reimbursed under Alaska Medicaid. This infrastructure will measure patient health outcomes attributable to those services, supporting a formal request to expand the clinic's reimbursable scope of services and demonstrating the value of nursing care for patients with chronic conditions in the northern Mat-Su Valley.",Pay for Value,222333,Clinic;Family medicine or primary care;Federally qualified health center;Home-and-community-based services provider,Matanuska-Susitna Borough,2026-08-07 00:00:00
BP1-PL-003,Planning,Alaska Hospital & Healthcare Association,Rural Health Clinic (RHC) Transformation & Financial Sustainability Project,"AHHA proposes Strategic, Financial, and Operational Assessments (SFOAs) for three independent Critical Access Hospitals—Petersburg Medical Center, Cordova Community Medical Center, and South Peninsula Hospital—plus implementation assistance for Rural Health Clinic (RHC) designation for those four facilities. The assessments will evaluate revenue cycle efficiency, Medicare cost report optimization, service line performance, and swing bed growth, with a median expectation of approximately $2.4M in identified improvement opportunity per hospital. The project targets financially fragile rural hospitals that serve as sole providers for their communities.",Pay for Value,249197,Association,Chugach Census Area;Juneau (City and Borough);Kenai Peninsula Borough;Petersburg Borough,2026-08-07 00:00:00
BP1-PL-004,Planning,Alaska Impact Alliance,Alaska 100% Communities: Community-Led Systems for Access to Care,"Alaska Impact Alliance proposes to implement the '100% Communities' model in three communities—Central Kenai Peninsula, Southern Kenai Peninsula, and Ketchikan—creating cross-sector action teams, shared referral pathways, and community navigator roles to address fragmented service access. The project will conduct a Community Access Assessment, map existing services into the 907 Navigation platform, and establish inter-agency coordination infrastructure designed to outlast the grant period. The model focuses on social determinants of health barriers—transportation, childcare, housing, and service navigation—that prevent rural residents from accessing available care.",Healthy Communities,176359,"Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality);Kenai Peninsula Borough;Ketchikan Gateway Borough,2026-08-07 00:00:00
BP1-PL-008,Planning,Assets Inc.,I/DD Remote Monitoring Feasibility Study,"Assets Inc. proposes a feasibility study to evaluate the potential for remote monitoring of individuals with intellectual and developmental disabilities (I/DD) in rural Alaska communities, assessing connectivity, equipment, staffing, and cost-effectiveness as an alternative to urban institutional care. The study will include community interviews in a selected pilot location to gauge user comfort, digital literacy, and training needs, alongside regulatory and vendor evaluation. Results will inform a follow-on pilot project and eventual expansion of telehealth-based in-home support for rural I/DD clients.",Spark Technology & Innovation,249653.52,"Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality),2026-08-07 00:00:00
BP1-PL-016,Planning,Girdwood Health Clinic Inc,Rural Pharmacy Innovation:  Expanding Medication Access Through Innovative Technologies,"Girdwood Health Clinic (dba Turnagain Community Health, an FQHC) proposes to stabilize and expand pharmacy access in the Turnagain Arm service area by transitioning the community's sole at-risk pharmacy into an FQHC-integrated telepharmacy model supported by the federal 340B Drug Pricing Program. The project will test technology-enabled dispensing solutions including automated kiosks, integrate clinical pharmacy services with primary care and behavioral health, and create a financially sustainable model designed for potential replication in other small rural Alaska communities. Without this intervention, residents of Girdwood, Hope, Whittier, Bird Creek, and Indian would face 40–90 mile trips to Anchorage for prescription medications.",Health Care Access,100000,"Behavioral health/substance use disorder treatment;Clinic;Family medicine or primary care;Federally qualified health center;Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality);Chugach Census Area;Kenai Peninsula Borough,2026-08-07 00:00:00
BP1-PL-019,Planning,Medical Park Family Care,Pay for Value - Alternative Payment Models,"Medical Park Family Care, an Anchorage-based family medicine clinic serving patients from over 60 Alaska communities, proposes to evaluate and implement an alternative payment model focused on rewarding primary care and preventive services—addressing a reimbursement environment where their largest payer has not increased rates in 10 years. The planning phase will analyze patient data to identify potential employer and insurer partners, followed by program design discussions; implementation is anticipated in the second year. The project aims to create a shared-savings APM model that reduces administrative burden, improves provider retention, and improves patient health outcomes.",Pay for Value,225436.6,Family medicine or primary care,Anchorage (Municipality),2026-08-07 00:00:00
BP1-PL-022,Planning,Nenana Volunteer Fire/EMS Department,Nenana Mobile Crisis Team,"The Nenana Volunteer Fire/EMS Department proposes a 6-month planning phase to design and operationalize a Mobile Crisis Team (MCT), given that behavioral health calls currently account for approximately 33% of all emergency responses in this community without a structured crisis response model or specialized training. Planning activities will develop operational policies, cross-agency coordination agreements with behavioral health providers and schools, workforce and training strategies, potential Medicaid billing pathways, and a phased implementation roadmap. The goal is a coordinated, treat-in-place crisis response model that reduces unnecessary emergency department use and out-of-community placements.",Health Care Access,50000,Emergency Medical Services,Denali Borough;Yukon-Koyukuk Census Area,2026-08-07 00:00:00
